title,author,price
 完全图解计算机网络原理 计算机入门书籍图书 计算机程序设计艺术 深入浅出计算机网络,基恩 著,¥78.20
 SPSS统计分析从入门到精通（第五版）,杨维忠 陈胜可,¥54.50
 ChatGPT：人类新纪元,马占凯,¥44.00
 我在硅谷管芯片：芯片产品线经理生存指南,俞志宏,¥39.50
 计算机科学概论（第13版）,[美] J. 格伦,¥44.50
 计算机网络（第6版）,（美）安德鲁·S.特南鲍姆,¥69.00
 我的第一本算法书,[日]石田保辉，[日]?m崎修一,¥44.50
 动手学强化学习,张伟楠 沈键 俞勇,¥44.90
 达芬奇影视调色全面精通：素材剪辑＋高级调色＋视频特效＋后期输出＋案例实战,周玉姣,¥49.50
 与梦境的距离 Terry F的人像摄影灵感与技术,冯韬,¥49.90
 Python王者归来（增强版）,洪锦魁,¥84.50
 深度学习图解,[美]安德鲁·特拉斯克(Andrew W. Trask)著 王晓雷 严烈 译,¥49.50
 老向讲工控--PLC编程手册,向晓汉 主编,¥84.00
 PID控制系统设计——使用MATLAB和Simulink仿真与分析,[澳]王六平（Liuping Wang）著 于春梅 王顺利 译,¥44.50
 大话软件工程——需求分析与软件设计,李鸿君,¥99.50
 零基础学数学建模,国忠金 尹逊汝 孟静 刘伟彦,¥24.50
 Unity 3D从入门到实战 unity3d游戏开发 unity3d脚本编程 网络游戏实战 C#脚本开发 AR/VR元宇,张尧,¥102.60
 Excel VBA与宏最强教科书(完全版) 教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高,[日]国本温子 著，祁芬芬 译,¥85.30
 中文版EPLAN P8 2022电气设计从入门到精通（实战案例版）eplan书籍 电气工程师书籍电气自动化书籍 epla,天工在线,¥88.00
 C和指针,[美]肯尼斯·里科（Kenneth Reek）,¥49.50
 深度学习经典教程：深度学习+动手学深度学习（套装共2册）,[美]Ian Goodfellow、[加]Yoshua Bengio、[加]Aaron Courville Aston Zhang Mu Li[美,¥126.50
 CG造型基础与创作·进阶篇,Victor cloux陈威,¥131.10
 人工智能导论,李德毅 于剑 中国人工智能学会,¥23.50
